year,age_desc,schter_1519,count,edu_alt_1yr,edu_alt_5yr,edu_truatt_1yr,edu_truatt_5yr,edu_truenr_1yr,edu_truenr_5yr,edu_sed_1yr,edu_sed_5yr,edu_esol_1yr,edu_esol_5yr,edu_hlth_1yr,edu_hlth_5yr,edu_gway_1yr,edu_gway_5yr,edu_ster_1yr,edu_ster_5yr,edu_irf_1yr,edu_irf_5yr,edu_home_1yr,edu_home_5yr,edu_rr_1yr,edu_rr_5yr,edu_rtlb_1yr,edu_rtlb_5yr,edu_it_1yr,edu_it_5yr,edu_ygff_1yr,edu_ygff_5yr,edu_sal_1yr,edu_sal_5yr,edu_top_1yr,edu_top_5yr,edu_ytrain_1yr,edu_ytrain_5yr,edu_corr_1yr,edu_sed2_1yr,edu_corr_5yr,edu_sed2_5yr,x_gender_desc,Reg
2013,06-14,0,519195,810,834,4752,4752,9276,17511,11997,12165,29298,56178,82179,407520,0,0,0,0,1884,5040,4824,6216,10551,40944,4287,11472,0,0,0,0,0,0,0,0,0,0,585,1623,1146,1908,All,
2013,06-14,0,253407,297,306,2349,2349,4665,8595,3645,3687,13401,26115,39762,199560,0,0,0,0,330,849,2409,3081,3897,14829,1431,3885,0,0,0,0,0,0,0,0,0,0,276,474,525,531,Female,
2013,06-14,0,265788,513,528,2403,2400,4611,8919,8352,8478,15897,30063,42420,207957,0,0,0,0,1554,4194,2415,3138,6654,26115,2859,7587,0,0,0,0,0,0,0,0,0,0,306,1149,618,1377,Male,
2013,15-19,0,293649,2322,7887,2178,2178,5334,24639,3798,4917,4518,10701,207,100245,13554,32175,4923,6045,288,2700,1284,3261,0,21,0,300,11424,13641,9678,17235,17277,19722,993,1281,0,5238,6612,1194,9693,2319,All,
2013,15-19,0,142920,906,2967,1152,1152,2556,12132,1341,1689,2160,4998,42,48486,6744,15990,1599,1920,75,765,639,1581,0,0,0,105,3498,4542,4335,7665,9756,11034,567,714,0,2295,4020,366,5610,735,Female,
2013,15-19,0,150729,1419,4923,1029,1029,2778,12507,2457,3228,2361,5703,165,51756,6813,16185,3324,4125,213,1932,645,1680,0,12,0,195,7929,9099,5340,9567,7521,8688,426,570,0,2943,2589,828,4083,1581,Male,
2013,15-19,1,251757,2292,5415,2169,2172,4872,19029,3705,4314,4401,10110,210,97083,13533,24870,4623,5379,282,2196,1284,2898,0,18,0,294,5808,7038,9675,12783,17097,18204,624,738,0,2142,6552,1188,8211,1860,All,
2013,15-19,1,126117,891,2178,1149,1149,2355,9762,1314,1527,2109,4794,42,47247,6732,13050,1524,1761,75,639,636,1431,0,0,0,105,2226,2913,4335,5904,9666,10290,354,411,0,1086,4014,366,4920,621,Female,
2013,15-19,1,125643,1398,3237,1020,1020,2517,9264,2394,2787,2289,5313,165,49833,6801,11817,3099,3621,210,1557,648,1467,0,12,0,192,3579,4125,5340,6879,7431,7914,273,327,0,1056,2538,822,3291,1236,Male,
2014,06-14,0,524652,768,801,6177,8643,8667,18204,11754,11916,29706,57999,81201,420207,0,0,24,24,2058,5679,4761,6111,10395,41031,0,10875,0,0,0,0,0,0,0,0,0,0,552,1674,1083,1923,All,
2014,06-14,0,255810,285,294,2967,4182,4188,8844,3600,3636,13659,26973,39306,205368,0,0,0,0,348,954,2358,3003,3852,14943,0,3693,0,0,0,0,0,0,0,0,0,0,264,471,501,522,Female,
2014,06-14,0,268842,483,504,3210,4461,4479,9360,8151,8277,16044,31029,41898,214839,0,0,21,21,1710,4725,2403,3108,6540,26088,0,7179,0,0,0,0,0,0,0,0,0,0,288,1203,582,1401,Male,
2014,15-19,0,292878,2208,7845,3249,5463,4920,23634,4026,5112,4269,10710,108,95688,14160,33711,6765,9546,291,3006,1269,3213,0,15,0,825,11661,14061,12237,21210,16917,18945,0,201,0,1659,4947,1260,9093,2283,All,
2014,15-19,0,142680,885,3009,1680,2862,2424,11724,1371,1701,2037,5031,60,46317,7122,16803,2271,3204,87,843,642,1554,0,0,0,273,3195,4245,5583,9537,9510,10593,0,111,0,723,3018,384,5313,702,Female,
2014,15-19,0,150198,1320,4839,1572,2601,2496,11913,2658,3408,2235,5682,48,49371,7038,16908,4494,6342,207,2166,627,1659,0,0,0,552,8466,9813,6657,11673,7410,8352,0,93,0,936,1926,879,3780,1581,Male,
2014,15-19,1,251412,2172,5403,3228,5235,4527,18249,3861,4461,4146,10080,108,93690,14142,26190,6060,7788,291,2400,1266,2874,0,12,0,807,5991,7248,12234,15492,16722,17637,0,87,0,543,4902,1257,7023,1848,All,
2014,15-19,1,125922,876,2232,1671,2748,2247,9456,1323,1539,1986,4806,63,45540,7116,13743,2103,2748,84,672,642,1404,0,0,0,270,2025,2700,5580,7290,9402,9933,0,51,0,291,3021,384,4233,609,Female,
2014,15-19,1,125493,1299,3174,1557,2487,2283,8796,2535,2925,2160,5274,51,48153,7029,12447,3957,5037,207,1728,627,1467,0,0,0,537,3966,4548,6654,8205,7317,7704,0,33,0,249,1881,873,2790,1239,Male,
2015,06-14,0,529575,744,768,6540,11367,8475,19794,11532,11670,30741,60120,83100,437493,0,0,0,0,1317,5517,4869,6141,10104,40590,0,8628,0,0,0,0,0,0,0,0,0,0,525,1743,1059,1992,All,
2015,06-14,0,258132,261,267,3117,5439,4062,9612,3582,3612,14241,27975,40038,213759,0,0,0,0,207,900,2412,3024,3750,14874,0,2946,0,0,0,0,0,0,0,0,0,0,231,480,477,537,Female,
2015,06-14,0,271440,483,501,3423,5928,4410,10182,7953,8055,16500,32145,43062,223731,0,0,0,0,1110,4617,2457,3114,6357,25713,0,5682,0,0,0,0,0,0,0,0,0,0,294,1263,579,1455,Male,
2015,15-19,0,292413,2124,7539,3294,9060,4839,23322,4434,5244,4080,10365,111,94179,0,22809,5778,12435,192,2910,1296,3144,0,0,0,924,8922,12882,12594,22077,15777,17757,0,0,0,60,4953,1221,8718,2199,All,
2015,15-19,0,142455,834,2964,1755,4701,2424,11670,1425,1701,1947,4908,51,45552,0,11427,2019,4299,51,822,660,1545,0,0,0,324,2955,4095,5754,9999,8967,10032,0,0,0,18,3096,378,5196,672,Female,
2015,15-19,0,149961,1290,4575,1536,4356,2412,11652,3006,3543,2130,5460,57,48627,0,11379,3759,8136,141,2088,636,1599,0,0,0,600,5964,8787,6843,12081,6813,7728,0,0,0,45,1857,843,3522,1524,Male,
2015,15-19,1,250920,2103,5181,3276,8205,4476,18015,4128,4560,3960,9774,105,93399,0,14697,5778,9633,189,2370,1293,2814,0,0,0,906,4146,5874,12582,15849,15561,16458,0,0,0,15,4908,1218,6798,1782,All,
2015,15-19,1,125595,825,2157,1749,4296,2259,9378,1356,1530,1905,4692,48,45237,0,8106,2022,3537,51,663,654,1410,0,0,0,318,1662,2382,5745,7473,8865,9378,0,0,0,0,3093,378,4191,576,Female,
2015,15-19,1,125322,1278,3024,1527,3906,2220,8637,2769,3033,2058,5085,57,48162,0,6591,3756,6096,138,1704,636,1407,0,0,0,585,2487,3492,6837,8376,6693,7080,0,0,0,0,1815,837,2607,1209,Male,
